molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4587096,Cc1ccccc1C(c1ccc2cccnc2c1O)N1CCOCC1,50000.0
CHEMBL4569558,COc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cn1,50000.0
CHEMBL4444319,N#Cc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,50000.0
CHEMBL4551418,Cc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,50000.0
CHEMBL4467603,OCCN1CCN(C(c2ccccn2)c2ccc3cccnc3c2O)CC1,50000.0
CHEMBL4461400,Oc1c(C(c2ccccn2)N2CCC(Cc3ccccc3)CC2)ccc2cccnc12,50000.0
CHEMBL1501558,Oc1c(C(Nc2ccccn2)c2cccnc2)cc(Cl)c2cccnc12,50000.0
CHEMBL1468306,O=C(Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12)c1ccccc1,50000.0
CHEMBL1431928,COc1cc(C(=O)Oc2c(CN3CCOCC3)cc(Cl)c3cccnc23)cc(OC)c1OC,50000.0
CHEMBL4476656,O=C(Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12)c1ccco1,50000.0
CHEMBL4470377,Oc1c(C(c2ccc(Cl)cc2)N2CCOCC2)cc(Cl)c2cccnc12,50000.0
CHEMBL1530097,Oc1c(C(c2ccccn2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL2094275,Oc1c(C(c2ccccc2Cl)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL4593293,COc1ccccc1C(c1ccc2cccnc2c1O)N1CCOCC1,50000.0
CHEMBL4476152,Oc1c(C(c2cnccn2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL4455925,Oc1c(C(c2nccn2Cc2ccccc2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL4434882,Oc1c(C(NCc2ccccc2)c2ccncc2)ccc2cccnc12,50000.0
CHEMBL4439046,CC1CN(C(c2ccncc2)c2ccc3cccnc3c2O)CC(C)O1,50000.0
CHEMBL4466135,CN(Cc1ccccc1)C(c1ccncc1)c1ccc2cccnc2c1O,50000.0
CHEMBL4532395,CC1CN(C(c2ccc(F)cc2)c2ccc3cccnc3c2O)CC(C)O1,50000.0
CHEMBL4441289,Oc1c(C(c2cccs2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL2008641,Oc1c(CN2CCOCC2)ccc2cccnc12,50000.0
CHEMBL4592829,COc1cc(COc2c(CN3CCOCC3)ccc3cccnc23)cc(OC)c1OC,100000.0
CHEMBL4467065,NC(=O)c1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,50000.0
CHEMBL4483425,Oc1c(C(c2ccccn2)N2CCOCC2)cc(Cl)c2cccnc12,50000.0
CHEMBL4565197,CCOC(=O)N1CCN(C(c2ccccn2)c2ccc3cccnc3c2O)CC1,50000.0
CHEMBL4525641,Oc1c(C(c2ccccn2)N2CCCCC2)ccc2cccnc12,50000.0
CHEMBL4520470,Oc1c(C(c2ccc(F)cc2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL4520802,Oc1c(C(c2cccnc2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL4437705,Oc1c(C(c2ccncc2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL2407599,Oc1c(CN2CCOCC2)cc(Cl)c2cccnc12,50000.0
CHEMBL1503729,Oc1c(C(c2ccccn2)N2CCCCC2)cc(Cl)c2cccnc12,50000.0
CHEMBL4549811,CC1CN(C(c2ccccn2)c2cc(Cl)c3cccnc3c2O)CC(C)O1,50000.0
CHEMBL4526159,Oc1c(C(c2ccccn2)N2CCN(Cc3ccccc3)CC2)ccc2cccnc12,50000.0
CHEMBL4475166,CN1CCN(C(c2ccccn2)c2ccc3cccnc3c2O)CC1,50000.0
CHEMBL4439334,Oc1c(C(c2ccccn2)N2CCC(c3ccccc3F)CC2)ccc2cccnc12,50000.0
CHEMBL4475247,Oc1c(C(c2ccccn2)N2CCN(c3ccccn3)CC2)ccc2cccnc12,50000.0
CHEMBL4472835,Oc1c(CN2CCOCC2)cc(CN2CCOCC2)c2cccnc12,100000.0
CHEMBL4455536,Oc1c(C(c2cccs2)N2CCOCC2)cc(Cl)c2cccnc12,50000.0
CHEMBL590192,Oc1c(C(c2ccc(Cl)cc2)N2CCOCC2)ccc2cccnc12,50000.0
CHEMBL2087790,COc1ccc(C(c2ccc3cccnc3c2O)N2CCOCC2)cc1,50000.0
CHEMBL4469567,COc1cnc(-c2ccccn2)nc1NS(C)(=O)=O,50000.0
